PG.ProteinAccessions	[1] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.htrms.PG.Quantity	[2] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.htrms.PG.Quantity	[3] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.htrms.PG.Quantity	[4] 20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.htrms.PG.Quantity
O00330	678.1865844726562	602.536865234375	603.0237426757812	611.0375366210938
O00391	329.9866943359375	136.280517578125	225.0108642578125	213.2215576171875
O00399	441.691650390625	389.2967834472656	382.0667419433594	418.6314392089844
O00400	383.11944580078125	327.7877502441406	302.6190185546875	269.68353271484375
O00401	311.03271484375	299.9056396484375	313.6783752441406	290.53717041015625
O00408	299.9384460449219	318.94415283203125	267.3843688964844	312.8191833496094
O00410	4527.14013671875	4466.9619140625	4453.3837890625	4637.30859375
O00411	545.4154663085938	500.9801025390625	531.4422607421875	554.6868286132812
O00418	728.9647216796875	727.801025390625	712.540771484375	740.3667602539062
O00421	591.2296142578125	512.0765380859375	476.0876159667969	561.4744262695312
O00422	780.4595336914062	722.4483642578125	679.3600463867188	652.0537719726562
O00425	1597.2301025390625	1570.203857421875	1692.9708251953125	1640.2952880859375
O00429	1872.818115234375	1850.8272705078125	1801.1583251953125	1765.020751953125
O00442	586.5866088867188	551.8836059570312	633.4478149414062	572.1893920898438
O00443	1353.14453125	1235.619384765625	1286.537353515625	1272.02783203125
O00458	433.7217712402344	437.38385009765625	449.2274475097656	457.68707275390625
O00459	206.372314453125	200.59597778320312	187.3711700439453	180.9242706298828
O00461	297.88458251953125	284.72021484375	267.31707763671875	276.8024597167969
O00462	218.9478759765625	192.65745544433594	185.90501403808594	164.7398681640625
O00463	NaN	41.36885452270508	25.35511589050293	39.37793731689453
O00468	381.4064636230469	352.8885192871094	398.92041015625	398.6104431152344
O00469	352.7841796875	373.6519470214844	372.14306640625	350.5250244140625
O00470	164.9066619873047	180.76412963867188	156.6759796142578	164.65878295898438
O00471	3302.28759765625	3086.755859375	3270.029541015625	3104.147705078125
O00472	37.56490707397461	46.46646499633789	64.04911041259766	34.81610870361328
O00478;O00481;P78410	268.2696533203125	312.34674072265625	264.6299133300781	274.62298583984375
O00479	101.92721557617188	93.18716430664062	80.51626586914062	85.50448608398438
O00483	4897.25439453125	4384.13232421875	4191.87744140625	3952.27197265625
O00487	1654.8798828125	1494.7080078125	1519.3748779296875	1461.7886962890625
O00488	454.9032287597656	427.7737121582031	460.5057067871094	464.4357604980469
O00499	310.30438232421875	362.6003723144531	340.4265441894531	327.3956298828125
O00505	2316.24365234375	2272.3515625	2438.637939453125	2212.55224609375
O00506	814.3488159179688	734.1154174804688	739.0653076171875	867.2221069335938
O00522	192.97152709960938	179.83493041992188	198.25257873535156	221.97189331054688
O00534	858.1292724609375	913.5343627929688	896.2814331054688	867.4957275390625
O00541	1333.526611328125	1295.5693359375	1348.2979736328125	1334.19677734375
O00559	61.62957763671875	74.90962982177734	95.080078125	80.57152557373047
O00560	448.18939208984375	426.7421569824219	410.7691955566406	462.3883361816406
O00562	234.86990356445312	196.36741638183594	221.87890625	211.80043029785156
O00566	664.1024780273438	714.851318359375	706.4857788085938	755.9007568359375
O00567	1800.1502685546875	1820.67724609375	1728.0751953125	1740.9139404296875
O00571	8179.2919921875	8101.3837890625	8378.447265625	8370.4599609375
O00584	181.98065185546875	240.1748046875	217.57403564453125	195.5133819580078
O00592	1956.4237060546875	1881.802490234375	1856.951416015625	1902.9173583984375
O00625	666.0670166015625	691.3171997070312	732.4876708984375	779.9445190429688
O00628	132.6354217529297	NaN	NaN	NaN
O00629	606.6170654296875	605.7025146484375	591.3165283203125	609.29248046875
O00712	133.08901977539062	157.6621551513672	167.34344482421875	161.93992614746094
O00716	67.60929107666016	52.822208404541016	100.48374938964844	57.270259857177734
O00743	603.2225341796875	587.2538452148438	537.654052734375	568.2824096679688
O00750	189.4241180419922	188.04702758789062	166.68063354492188	180.10964965820312
O00754	227.0612030029297	214.3156280517578	232.76412963867188	235.3663787841797
O00762	1472.6827392578125	1356.522705078125	1274.4605712890625	1404.6829833984375
O00763	1327.6119384765625	1253.584228515625	1239.1436767578125	1176.43017578125
O00764	1233.8460693359375	1232.18701171875	1267.756591796875	1262.3651123046875
O00767	932.888671875	1081.226806640625	995.979736328125	1175.652099609375
O14494	82.56106567382812	74.11299896240234	105.6832275390625	80.91960906982422
O14497	337.1830139160156	369.916748046875	346.2386779785156	370.55645751953125
O14519	437.3329162597656	355.414306640625	374.7601623535156	295.3578796386719
O14521	206.0065460205078	170.05120849609375	NaN	318.4388427734375
O14523	37.9989013671875	3.438394069671631	NaN	20.550691604614258
O14524	204.97230529785156	175.83648681640625	171.28761291503906	179.39956665039062
O14529	117.54399871826172	120.87577819824219	89.96746826171875	76.64202117919922
O14530	409.8164978027344	383.90814208984375	450.5766906738281	408.7560119628906
O14531	1577.41650390625	1514.9996337890625	1622.1490478515625	1383.282958984375
O14545	646.5217895507812	743.0807495117188	752.9979858398438	754.7467651367188
O14548	304.584228515625	312.66632080078125	326.32305908203125	359.9873352050781
O14561	2228.261962890625	2244.330078125	2223.072265625	2199.645751953125
O14562	1088.1016845703125	1041.51904296875	1065.5693359375	1046.07470703125
O14569	202.04713439941406	147.8473358154297	122.0851058959961	131.72409057617188
O14578	347.2922668457031	332.9111633300781	321.95281982421875	362.6979064941406
O14579	1354.04248046875	1389.17333984375	1362.2396240234375	1396.7596435546875
O14593	40.64209747314453	37.25874328613281	47.2961540222168	39.813865661621094
O14617	1293.534423828125	1378.7763671875	1317.734619140625	1314.5189208984375
O14618	446.41265869140625	481.9462585449219	458.3093566894531	408.6116027832031
O14639	339.41461181640625	316.68212890625	320.5152587890625	362.930419921875
O14640	96.14186096191406	109.1665267944336	105.20789337158203	99.38282012939453
O14641	259.5426330566406	240.3629913330078	261.8247985839844	232.55389404296875
O14646	537.4359741210938	539.9097290039062	505.93853759765625	581.8203735351562
O14647	175.46429443359375	143.249755859375	134.92616271972656	149.07586669921875
O14653	445.67578125	454.36895751953125	470.57684326171875	467.1133117675781
O14656	352.9852600097656	384.173828125	397.0361633300781	432.7672119140625
O14657	425.7099609375	442.05584716796875	469.446533203125	437.3344421386719
O14662	209.33250427246094	208.01329040527344	223.5296630859375	188.44371032714844
O14672	678.6104125976562	697.8098754882812	710.18798828125	742.2315673828125
O14681	785.9556274414062	679.9059448242188	720.244873046875	637.96728515625
O14684	2358.99072265625	2457.550048828125	2367.006591796875	2264.818115234375
O14686	161.2245330810547	179.83375549316406	190.00643920898438	191.18299865722656
O14713	797.0928955078125	657.3113403320312	804.3930053710938	794.5856323242188
O14715	1057.6357421875	1085.19091796875	1044.031494140625	1051.841064453125
O14727	211.49208068847656	220.408447265625	221.9536895751953	228.02806091308594
O14730	149.3445281982422	180.9601287841797	174.81214904785156	154.49813842773438
O14732	386.44317626953125	396.78570556640625	459.1170654296875	436.22637939453125
O14733	316.3792419433594	376.79351806640625	379.20318603515625	408.87542724609375
O14734	554.4263305664062	496.4903564453125	534.3921508789062	551.1500244140625
O14735	299.4037170410156	267.51373291015625	230.53759765625	213.19737243652344
O14737	7932.21826171875	8385.94140625	7518.78076171875	7826.8369140625
O14744	4249.5849609375	4339.5205078125	4164.13134765625	4237.89208984375
O14745	3709.25927734375	3647.43896484375	3687.41455078125	3802.783447265625
O14757	589.0357055664062	600.4971313476562	573.2503051757812	580.7482299804688
O14763	330.2523193359375	336.6622314453125	309.5107116699219	334.8800048828125
O14770	219.61424255371094	123.54981994628906	126.29611206054688	147.6920623779297
O14772	468.67041015625	554.2922973632812	465.50848388671875	479.94244384765625
O14773	262.3666076660156	304.9565734863281	272.6190185546875	296.69488525390625
O14775	20.683059692382812	23.00127410888672	26.74054527282715	26.659746170043945
O14776	2177.22412109375	2292.864501953125	2269.888671875	2308.0654296875
O14777	324.52423095703125	348.4385986328125	336.8719177246094	315.11328125
O14787	50.180137634277344	50.450584411621094	46.20325469970703	58.59318542480469
O14795	317.06707763671875	248.2837677001953	288.9228515625	242.40744018554688
O14802	574.0111694335938	555.0372314453125	571.4034423828125	563.1935424804688
O14810	29.037025451660156	NaN	21.74725341796875	NaN
O14818	5126.26318359375	5548.5712890625	5513.06982421875	5344.06201171875
