Protein.Group	Protein.Names	Genes	First.Protein.Description	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A5_1_22639.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-A11_1_22645.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B5_1_22651.d	D:\Patricia_nature_protocol_paper\raw_files\Optimal_dia-PASEF_60SPD\20201218_tims03_Evo03_PS_SA_HeLa_200ng_300-1200_12scans_2steps_21min_8cm_S2-B11_1_22657.d
P49848				18734.3	19253	17794	19691.5
P49902				175459	187964	178056	194787
P49903				153782	161106	155298	153606
P49914				45630.2	44363.4	42776.3	41103.1
P49915				308744	293983	313048	326132
P49916				101385	103999	105508	96649.1
P49917				17996.5	14404.7	16251.4	16006.1
P49918				7082.81	7282.51		4656.89
P49959				69388.1	69160.1	69512.4	68489.1
P50148				28688.9	29086.8	28886.5	33478.7
P50151				25787.2	28640.8	23995.5	21978
P50213				214616	225645	224786	233996
P50219				3309.36	3013.97	3644.7	4043.52
P50238				292697	294796	264115	274355
P50336				49939.8	52861.2	54731.2	54140.8
P50395				1.09545e+06	1.16451e+06	1.15271e+06	1.18476e+06
P50402				207785	218954	217489	224468
P50416				186025	188333	196837	204031
P50443				7111.83	11667.8	5366.78	9620.51
P50452				17775.2	17556.8	19259.4	18033.9
P50454				446750	475071	496998	499871
P50502				569198	558313	568645	556728
P50542				31236.2	30231.7	30209.4	30173.2
P50548				9823.72	8450.9	8862.35	5431.7
P50552				134610	125871	119653	123929
P50570				136234	141981	150875	146506
P50579				134461	140041	144550	150284
P50583				36920.1	36331.7	38921.3	33642.6
P50613				31503.5	30792.2	30776.8	30867.8
P50616				18457.5	14416.9	20492.2	18194.3
P50747				13616.8	18786	18529.3	16333.9
P50748				20684.2	19269	20897.9	21283.2
P50750				54576	69191.6	65887.4	54906.5
P50851				34833.9	35858.2	34660.5	34192.7
P50897				244713	246649	242921	249769
P50914				686263	707164	732475	732965
P50990				741574	777226	769156	774139
P50991				753395	775931	801001	811862
P50995				456799	375022	523162	439228
P51003				48160.4	48169.3	44726.9	48602.6
P51114				283480	269016	264679	263598
P51116				73565.5	70430.6	65589.4	66482.7
P51148				238307	236724	240693	239124
P51149				270538	292155	289857	304665
P51151				97635.8	116166	98647.6	99012.1
P51153				59949.2	69174.1	67561.3	69856.8
P51157							26782.1
P51159				34099.3	35721	34326.4	33966.6
P51397				69551.8	84679.6	74015.5	78404.7
P51398				140796	145648	138348	139601
P51452				82889.8	71560.8	76422	77347.3
P51511				35360	29261.5	31884.1	34077.3
P51530				12281.2	8920.14	11573.3	10314.8
P51531				26375.4	27710.9	25720.9	28870.8
P51532				142555	142970	140172	139399
P51553				66045.7	69175.9	74648.5	73315.2
P51570				100576	95911.5	95967.5	87313.9
P51571				363676	388971	383804	391214
P51572				312669	270600	279712	296618
P51580				55974.4	50773.2	37297.2	35778.7
P51587				38206.7	39353.7	27324.7	43267.1
P51608				12226.8	13836.1	14437.1	14203
P51610				200974	174440	364781	161261
P51617				16003.3	19789.8	20566.4	15843.2
P51636				32781	23476.8	31334	30519.7
P51648				137769	143585	141274	138920
P51659				274876	287464	247787	237082
P51665				178257	217980	189714	180568
P51688				16017.8	14963.6	16430.1	14061.1
